title,year,rating,link
A Hora do Mal,N/A,N/A,https://www.imdb.com/pt/title/tt26581740/?ref_=chtmvm_t_1
A Longa Marcha - Caminhe ou Morra,N/A,N/A,https://www.imdb.com/pt/title/tt10374610/?ref_=chtmvm_t_2
Invocação do Mal 4: O Último Ritual,N/A,N/A,https://www.imdb.com/pt/title/tt22898462/?ref_=chtmvm_t_3
Demon Slayer: Kimetsu no Yaiba - Castelo Infinito,N/A,N/A,https://www.imdb.com/pt/title/tt32820897/?ref_=chtmvm_t_4
O Clube do Crime das Quintas-Feiras,N/A,N/A,https://www.imdb.com/pt/title/tt12001534/?ref_=chtmvm_t_5
A Paris Errada,N/A,N/A,https://www.imdb.com/pt/title/tt33039440/?ref_=chtmvm_t_6
Christy,N/A,N/A,https://www.imdb.com/pt/title/tt32323252/?ref_=chtmvm_t_7
Luta de Classes,N/A,N/A,https://www.imdb.com/pt/title/tt31194612/?ref_=chtmvm_t_8
Corra que a Polícia Vem Aí!,N/A,N/A,https://www.imdb.com/pt/title/tt3402138/?ref_=chtmvm_t_9
Uma Batalha Após a Outra,N/A,N/A,https://www.imdb.com/pt/title/tt30144839/?ref_=chtmvm_t_10
Downton Abbey: O Grande Final,N/A,N/A,https://www.imdb.com/pt/title/tt31888477/?ref_=chtmvm_t_11
Superman,N/A,N/A,https://www.imdb.com/pt/title/tt5950044/?ref_=chtmvm_t_12
Guerreiras do K-Pop,N/A,N/A,https://www.imdb.com/pt/title/tt14205554/?ref_=chtmvm_t_13
No amor e na música,N/A,N/A,https://www.imdb.com/pt/title/tt28037987/?ref_=chtmvm_t_14
F1: O Filme,N/A,N/A,https://www.imdb.com/pt/title/tt16311594/?ref_=chtmvm_t_15
"Honey, Não!",N/A,N/A,https://www.imdb.com/pt/title/tt30645201/?ref_=chtmvm_t_16
Anônimo 2,N/A,N/A,https://www.imdb.com/pt/title/tt28996126/?ref_=chtmvm_t_17
Thunderbolts*,N/A,N/A,https://www.imdb.com/pt/title/tt20969586/?ref_=chtmvm_t_18
Lilo & Stitch,N/A,N/A,https://www.imdb.com/pt/title/tt11655566/?ref_=chtmvm_t_19
Coração de Lutador - The Smashing Machine,N/A,N/A,https://www.imdb.com/pt/title/tt11214558/?ref_=chtmvm_t_20
Ladrões,N/A,N/A,https://www.imdb.com/pt/title/tt1493274/?ref_=chtmvm_t_21
Número desconhecido: Catfishing na escola,N/A,N/A,https://www.imdb.com/pt/title/tt37674426/?ref_=chtmvm_t_22
Os Roses: Até que a Morte os Separe,N/A,N/A,https://www.imdb.com/pt/title/tt31973693/?ref_=chtmvm_t_23
Tempo de Guerra,N/A,N/A,https://www.imdb.com/pt/title/tt31434639/?ref_=chtmvm_t_24
Pecadores,N/A,N/A,https://www.imdb.com/pt/title/tt31193180/?ref_=chtmvm_t_25
